"Country Name",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Benin,955353181.202543,985363503.840364,951600912.133491,996611901.139256,1062894158.11124,1119162316.8202,1159182025.27245,1171682628.91187,1216702607.81957,1251713200.91285,1277971109.4832,1258841903.15069,1339739710.69158,1389392679.06115,1435788837.95704,1365502014.66814,1377577917.94034,1446231769.04221,1464383106.04164,1560091487.02406,1665893207.90512,1831720069.01279,1872660227.42447,1791240280.57924,1933282761.13452,2078865233.07445,2124000340.72628,2092140273.26607,2163382781.13005,2101636364.67967,2290282068.43172,2387064794.87748,2457667268.43991,2601100959.90885,2653653615.26876,2814072247.63116,2935760724.54727,3104117453.25063,3227071922.60732,3399444335.5313,3564714018.00841,3787451984.96814,3954899567.68258,4108448873.27963,4236626607.49811,4358015992.89839,4521535484.98451,4730719643.07223,4968127509.20099,5100603394.2044,5230812507.67095,5415496713.03136,5707932120.82003,6027576461.18597
Bermuda,1070485427.65827,1120584145.67268,1170674256.98424,1183200471.53398,1314654043.92141,1377231576.41206,1575052111.93307,1784140905.80653,1821701766.98141,1884303202.27286,2003245929.32663,2072107508.14724,2109668369.32211,2140969086.96784,2159749517.55528,2241131383.43417,2441455976.36684,2585439277.53719,2623000138.71206,2679341430.47437,2892186310.46533,2961047889.28594,2804544301.05729,2860885592.8196,2874657908.58372,2817064588.11558,3004868893.98995,3117551477.51458,3244006376.80332,3258404706.92035,3259030721.27327,3143844080.33699,3141966037.27825,3236494204.56835,3255900649.5087,3399132533.13096,3487526160.41168,3647952363.79062,3790222505.97846,3918432418.83518,4283518863.45943,4592893272.29048,4525019937.59883,4679355073.34874,4787975373.98127,4868136000,5138018933.03734,5284241305.92385,5364978907.00645,5081483917.52828,4975071875.07603,4808929627.90415,4574802067.32758,NA
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134199022.006,152863057.718258,158081714.080489,175961882.545029,183848680.420255,191591971.33995,214066816.983795,275495998.039028,289235781.765295,310733595.740047,344530330.885114,343125074.186654,358911887.383402,366041194.359397,384165735.68252,411342070.770969,434233967.419999,457569000.127158,484629771.779949,523322478.662545,559604551.825436,605513243.907764,670471741.118231,721858934.420814,764422682.719108,818869145.811526,874956489.142845,1031799658.35174,1080999520.37317,1152964077.67847,1288216614.45792,1398417008.78099,1463024110.99551,1535910227.67322
Bolivia,2931591077.32592,2992567693.00019,3159260437.32159,3362107110.79591,3523305344.43071,3721491924.31867,3963288262.42199,4237106608.73495,3721491924.31867,3836709803.44052,3817724954.19385,4011029212.77055,4330607372.17954,4579147924.19639,4713755082.81894,5058378552.52646,5291800844.50858,5554867676.4986,5668892143.74856,5676451273.76592,5598583253.07595,5614013865.24519,5392892571.87837,5174905307.16097,5164520728.90004,5077943348.10382,4947243312.94573,5069117640.68106,5216603893.95851,5414319879.60065,5665316265.57926,5963681397.19985,6061873413.85921,6320672692.62386,6615675317.08912,6925174927.53534,7227205373.24808,7585256216.11964,7966745651.29273,8000754522.43164,8201398323.47822,8339493389.23443,8546776986.08449,8778509154.87305,9144862287.75717,9549196255.88892,10007272034.7496,10464042406.648,11107423824.8758,11480299979.3606,11954060130.0886,12572554883.7728,13223364505.4754,14119326924.3949
"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2096293367.68306,2532322412.70459,4785017277.17156,6430564389.2861,7433732186.24265,8147370476.12195,8595475852.30866,8973676789.81025,9449281659.67018,9827252926.05699,10426715354.5465,10948051122.2738,11626830291.8548,12421872947.2118,13095138460.9506,12714069931.7371,12803068421.0853,12969508307.4892,12878721744.5089,12925720520.3288
Botswana,199004292.564437,211627691.333987,225736208.506082,239102158.195975,255438328.129099,270289401.334515,287436603.324773,304465966.167027,336639058.263387,387550336.263124,453899993.191998,571102008.546604,721655576.550979,875391181.454949,952406317.378614,1032848929.69733,1142820251.00046,1280096279.6457,1463569938.13456,1641373032.40177,1838122798.59438,2004746012.69001,2248634023.64451,2544255855.10451,2761672274.78736,2958448915.69192,3200240699.11425,3580490998.50766,4276895409.29156,4835432547.76731,5162927787.60108,5548015535.14565,5709855050.51403,5819262002.86621,6030379937.00238,6454340386.85534,6830615527.7899,7378878231.93302,7432153227.69294,8150637372.49207,8312647253.65125,8333476575.30175,8839279508.38808,9248175276.28085,9498414407.12552,9931223496.1573,10721702327.9678,11652597047.2625,12107219246.7641,11157891949.5039,12116816308.8619,12865984305.817,13413664371.5922,14204705200.6372
Brazil,125652390469.854,138564319006.748,145791916173.14,147067118129.53,152193263569.247,156840466464.017,163349910791.938,171378992908.826,190962954385.944,209554776995.182,227932620860.382,253677808334.569,284253092984.072,323987956317.421,353283337112.54,371686134291.641,408075731355.797,426872997479.698,440668293003.671,470485165440.602,513350881382.961,490797543507.319,493645374434.049,476813086641.913,501937050765.464,541820274869.259,585102477386.33,606163998515.248,605541633509.727,625400122213.141,598507916957.975,607557760424.627,604720982568.734,632932129221.508,666695006770.169,696141805127.044,711108853937.273,735108342669.026,735369395845.951,737248978719.796,768993045033.588,779104504753.056,799797319910.458,808968988193.01,855192804053.441,882185702547.247,917079810529.235,972979997480.938,1023276242901.37,1019917358691.63,1096754010432.53,1126722915143.25,1138348483288.87,1166716261847.79
"Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5084803534.5158,5102878171.5494,6131383324.04175,6800727947.09234,7261534015.98111,8899912405.15546,8277212006.70769,6636112704.43152,6898680818.75828,6933275285.33871,6974866385.60957,6870888634.93242,6684311736.52111,6818608233.19009,6893433343.49046,6819385636.93347,6893677416.32588,7110548457.9222,7448909600.36895,7471597040.10074,7706608407.01247,8051764824.59676,8283520244.63667,8161655436.4753,8116071905.89298,8363787087.00435,8602106665.41959,8838152033.94234,9180373874.77002,9446967804.116,9494610557.86131,9531402829.84859,9950567279.59559,9965949011.79972,9772638053.01816,9600196363.33516,9849702194.25079,10187529100.0375,10284143007.1791,10103968879.1448
Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19651514934.3327,20614470926.647,21095729270.9476,21819377381.5108,22560460217.3916,23165856779.7025,24140583858.6927,25602178852.476,28404258438.3945,27469791855.0952,24965267317.6275,22856861811.9903,21194622168.9022,20880896238.1242,21260513220.2127,21868604178.6315,19893857267.3464,19566497800.9586,20517696082.9548,20920692661.052,22113172142.732,23041925372.7267,24124895865.2449,25451765137.8334,27157033402.0682,28895083539.8005,30773263969.8876,32742752863.9604,34772803541.5259,32860299346.742,32991740544.129,33585591873.9233,33787444848.8771,34091077130.4876
"Burkina Faso",910098557.022596,946902287.169588,1004936023.02845,992193269.788659,1014843248.56656,1053047483.07068,1058708804.11959,1152122016.70497,1187501079.20364,1211560813.4273,1212978577.27813,1230122087.18464,1258556343.64459,1264211382.23779,1368969329.07292,1410016271.2281,1530359678.95407,1536027420.53463,1606804876.16492,1665688193.34188,1678961710.53206,1750406625.30288,1917783948.36015,1924419188.11979,1890189607.90182,2051183955.95942,2214363079.76808,2209129725.12507,2337161892.10639,2387417119.34263,2373022701.59333,2588255491.88221,2594278640.95713,2684076610.95325,2719372413.6543,2874821907.72652,3191476177.60358,3393076453.23324,3641032967.43339,3910621564.51074,3982851579.13118,4245137265.42524,4463498006.92315,4811762166.22016,5027254631.72895,5462709054.77989,5832414794.63754,6042743719.71803,6393223161.53281,6582810303.80417,7105465610.4591,7404611235.12855,8110820116.46485,8640399195.87169
Burundi,409667070.23946,353353681.459143,385378683.672684,401315662.334022,426490346.015152,443410180.245402,463864660.29976,527977800.595411,526405040.95769,518721942.812564,629342876.310244,646629847.136778,605219898.547716,646913804.347965,642211778.877865,646693904.82415,698058609.247836,778122113.699179,770803283.895677,783636811.32251,791403088.852731,887663627.360392,878311205.004043,910943338.253333,912360256.054611,1019865308.90832,1053012771.91124,1110961076.86098,1166853799.30549,1182600517.38042,1223989432.102,1285150182.26921,1298130178.09559,1217126854.98242,1170510896.4366,1077806433.43882,991581918.763716,975815766.255367,1022167015.1525,1011843128.29946,1003173008.21823,1023796310.21104,1069319611.97705,1056234048.92313,1107288788.00828,1117254387.10035,1177414708.11221,1233763797.4075,1296045659.39237,1340998036.58896,1391766915.34813,1450104574.74814,1508389578.20966,1575827030.82527
"Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149887089.707027,162554890.61486,167147114.665558,183060773.013044,189986457.891112,206405252.264349,212332087.272781,221481611.901046,234763543.210854,248140251.005842,249857807.542984,253366178.769571,281078476.821696,305555666.457771,364169314.842879,415923734.125875,463116623.387716,514607901.761787,579022843.770512,644004541.975857,735999746.550633,752424717.933313,791933721.592941,825006927.025394,909133482.657814,971976952.231872,1049577165.99121,1208805243.75267,1289197084.29372,1272819077.03937,1291490221.84749,1342746676.70293,1359346553.32374,1366135159.58359
Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2436535850.96728,2658247565.93111,2829515872.68627,2982658874.48222,3150278126.87037,3308076589.97886,3702060503.85327,4026612205.04638,4350296727.3409,4641239389.00209,5036018513.98263,5556769455.10851,6293046162.11399,6970875649.42052,7682781330.76243,8196880595.71499,8203987041.9557,8693197235.56848,9307768894.69107,9988478192.77287,10733585656.813
Cameroon,3778539607.36786,3823265455.67241,3939552332.36142,4086992060.73838,4231964195.8006,4317706063.67651,4516966282.20323,4024071958.95397,4279452597.4659,4489209090.37762,4628018498.54327,4789060020.12204,4917111980.13901,5180456801.26822,5736540620.75343,6381617985.18512,6030939244.9607,6859582548.76682,8368896834.62194,8873969698.55757,8699570311.41836,10185690264.731,10951267381.8955,11703272357.8111,12578041940.0572,13592229796.8592,14512649803.7994,14201113976.0396,13090071082.2868,12851946913.9842,12067245893.7707,11607652842.5659,11247815231.6875,10887885441.8337,10615688204.7144,10966005506.3247,11514306266.7934,12101535664.0383,12711362656.248,13269875876.888,13827210176.9476,14451407928.0567,15030771313.06,15636660699.9574,16215507058.0399,16587921220.9676,17122408358.1079,17608693919.0833,18247395961.8096,18588341481.8203,19209829592.6451,19997837331.2717,20917737848.5101,22068213430.1783
Canada,231588866531.487,238914697886.883,255917729571.414,269178813272.642,287212331264.795,306273307273.665,326441298610.063,335958075608.943,353748204230.567,372355362694.863,400870362223.65,417376831248.357,440106570701.891,470756485341.105,488132049058.113,497030565170.894,522872687456.846,540954830732.316,562341973669.905,583738652094.114,596362682828.911,617253980462.316,598611269500.778,613972010347.729,648181704053.388,678511715278.323,693426506664.602,721456726168.264,755636845564.141,773586895059.712,774584638879.228,758161557694.024,764639109807.779,784576085957.971,820305743532.207,842769766626.211,856924965213.856,893372967207.295,930342410978.48,976834004228.433,1026878406008.87,1044215955983.42,1073473509343.07,1094141282253.42,1128484060353.11,1164179473989.7,1194701718228.22,1218695044446.52,1233019906179.77,1199586927241.56,1240064039807.26,1271415142991.01,1293143699697,1319291280901.59
"Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic",721229722.108108,756955495.554711,728844892.513277,723690181.661911,738745550.944278,745745674.565249,750555728.791995,785655577.187032,796687727.244752,853184092.574384,873088587.749764,882955597.813787,882948685.347562,899625545.589076,956654073.459383,960528559.45806,1012708722.46134,1051255262.81852,1063967288.20703,1037739736.25031,991263526.187133,975953387.084664,1051255262.81852,965825553.118981,1057400834.72761,1098927913.69076,1138247189.88499,1082028783.58457,1100534429.25675,1122295457.08639,1098192563.58653,1092125852.20761,1021966656.6281,1025391734.96344,1075635920.63022,1153081731.83942,1106958446.98845,1165627273.88644,1220411684.20048,1264346540.65969,1232871264.44534,1287916286.65064,1334493624.8209,1262464741.98341,1338149398.75938,1350300947.46755,1452928387.05305,1570946903.87335,1632089449.71026,1777461809.35585,1895403784.96609,1957951366.23874,2038226859.11244,1304465871.49672
