ccode1,ccode2,year,distance
91,255,1993,5888
91,365,1993,6663
91,710,1993,8415
91,740,1993,7836
92,2,1993,1896
92,90,1993,109
92,91,1993,136
92,200,1993,5447
92,220,1993,5583
92,255,1993,5990
92,365,1993,6749
92,710,1993,8391
92,740,1993,7769
93,2,1993,1936
93,91,1993,149
93,94,1993,213
93,200,1993,5404
93,220,1993,5530
93,255,1993,5958
93,365,1993,6752
93,710,1993,8564
93,740,1993,7980
94,2,1993,2052
94,93,1993,213
94,95,1993,318
94,200,1993,5429
94,220,1993,5546
94,255,1993,5990
94,365,1993,6816
94,710,1993,8759
94,740,1993,8193
95,2,1993,2077
95,94,1993,318
95,100,1993,481
95,200,1993,5285
95,220,1993,5389
95,255,1993,5855
95,365,1993,6720
95,710,1993,8917
95,740,1993,8438
100,2,1993,2380
100,95,1993,481
100,101,1993,639
100,130,1993,452
100,135,1993,1169
100,140,1993,2279
100,200,1993,5288
100,220,1993,5368
100,255,1993,5865
100,365,1993,6786
100,710,1993,9298
100,740,1993,8903
101,2,1993,2062
101,100,1993,639
101,110,1993,651
101,140,1993,2235
101,200,1993,4664
101,220,1993,4738
101,255,1993,5242
101,365,1993,6178
101,710,1993,8954
101,740,1993,8811
110,2,1993,2513
110,101,1993,651
110,115,1993,217
110,140,1993,1712
110,200,1993,4508
110,220,1993,4547
110,255,1993,5078
110,365,1993,6060
110,710,1993,9198
110,740,1993,9288
115,2,1993,2665
115,110,1993,217
115,140,1993,1575
115,200,1993,4444
115,220,1993,4471
115,255,1993,5009
115,365,1993,5999
115,710,1993,9238
115,740,1993,9418
130,2,1993,2708
130,100,1993,452
130,135,1993,824
130,200,1993,5738
130,220,1993,5820
130,255,1993,6316
130,365,1993,7229
130,710,1993,9546
130,740,1993,8977
135,2,1993,3525
135,100,1993,1169
135,130,1993,824
135,140,1993,1971
135,145,1993,671
135,155,1993,1534
135,200,1993,6326
135,220,1993,6378
135,255,1993,6902
135,365,1993,7865
135,710,1993,10353
135,740,1993,9632
140,2,1993,4225
140,100,1993,2279
140,101,1993,2235
140,110,1993,1712
140,115,1993,1575
140,135,1993,1971
140,145,1993,1345
140,150,1993,910
140,160,1993,1462
140,165,1993,1416
140,200,1993,5469
140,220,1993,5427
140,255,1993,5965
140,365,1993,6952
140,710,1993,10529
140,740,1993,10993
145,2,1993,3875
145,135,1993,671
145,140,1993,1345
145,150,1993,908
145,155,1993,1183
145,160,1993,1382
145,200,1993,6220
145,220,1993,6237
145,255,1993,6779
145,365,1993,7775
145,710,1993,10805
145,740,1993,10280
150,2,1993,4612
150,140,1993,910
150,145,1993,908
150,160,1993,647
150,200,1993,6351
150,220,1993,6320
150,255,1993,6861
150,365,1993,7854
150,710,1993,11378
150,740,1993,11188
155,2,1993,5021
155,135,1993,1534
155,145,1993,1183
155,160,1993,692
155,200,1993,7260
155,220,1993,7245
155,255,1993,7789
155,365,1993,8789
155,710,1993,11854
155,740,1993,10717
160,2,1993,5217
160,140,1993,1462
160,145,1993,1382
160,150,1993,647
160,155,1993,692
160,165,1993,143
160,200,1993,6929
160,220,1993,6881
160,255,1993,7415
160,365,1993,8391
160,710,1993,11989
160,740,1993,11406
165,2,1993,5274
165,140,1993,1416
165,160,1993,143
165,200,1993,6870
165,220,1993,6815
165,255,1993,7346
165,365,1993,8313
165,710,1993,11910
165,740,1993,11549
200,2,1993,3668
200,20,1993,3335
200,31,1993,4347
200,40,1993,4655
200,41,1993,4467
200,42,1993,4366
200,51,1993,4687
200,52,1993,4430
200,53,1993,4217
200,54,1993,4172
200,55,1993,4362
200,56,1993,4226
200,57,1993,4282
200,58,1993,4094
200,60,1993,4121
200,70,1993,5554
200,80,1993,5239
200,90,1993,5453
200,91,1993,5341
200,92,1993,5447
200,93,1993,5404
200,94,1993,5429
200,95,1993,5285
200,100,1993,5288
200,101,1993,4664
200,110,1993,4508
200,115,1993,4444
200,130,1993,5738
200,135,1993,6326
200,140,1993,5469
200,145,1993,6220
200,150,1993,6351
200,155,1993,7260
200,160,1993,6929
200,165,1993,6870
200,205,1993,288
200,210,1993,223
200,211,1993,198
200,212,1993,304
200,220,1993,212
200,221,1993,640
200,223,1993,528
200,225,1993,466
200,230,1993,786
200,232,1993,627
200,235,1993,986
200,255,1993,578
200,290,1993,900
200,305,1993,766
200,310,1993,903
200,316,1993,644
200,317,1993,801
200,325,1993,891
200,331,1993,783
200,338,1993,1298
200,339,1993,1176
200,343,1993,1207
200,344,1993,833
200,345,1993,1051
200,346,1993,1007
200,349,1993,763
200,350,1993,1487
200,352,1993,2001
200,355,1993,1253
200,359,1993,1335
200,360,1993,1300
200,365,1993,1555
200,366,1993,1109
200,367,1993,1042
200,368,1993,1073
200,369,1993,1327
200,370,1993,1164
200,371,1993,2247
200,372,1993,2199
200,373,1993,2471
200,375,1993,1133
200,380,1993,891
200,385,1993,718
200,390,1993,594
200,395,1993,1176
200,402,1993,2843
200,403,1993,3561
200,404,1993,2876
200,411,1993,3343
200,420,1993,2787
200,432,1993,2723
200,433,1993,2723
200,434,1993,3117
200,435,1993,2467
200,436,1993,2630
200,437,1993,3104
200,438,1993,3004
200,439,1993,2708
200,450,1993,3184
200,451,1993,3067
200,452,1993,3178
200,461,1993,3138
200,471,1993,3362
200,475,1993,2956
200,481,1993,3579
200,482,1993,3433
200,483,1993,2854
200,484,1993,3963
200,490,1993,3968
200,500,1993,4019
200,501,1993,4241
200,510,1993,4658
200,516,1993,4173
200,517,1993,4098
200,520,1993,4311
200,522,1993,3668
200,530,1993,3644
200,531,1993,3298
200,540,1993,4248
200,541,1993,5715
200,551,1993,4934
200,552,1993,5152
200,553,1993,4966
200,560,1993,6014
200,565,1993,5229
200,570,1993,5836
200,571,1993,5499
200,572,1993,5707
200,580,1993,5655
200,581,1993,5081
200,590,1993,6053
200,591,1993,5067
200,600,1993,1254
200,615,1993,1031
200,616,1993,1135
200,620,1993,1452
200,625,1993,3067
200,630,1993,2736
200,640,1993,1762
200,645,1993,2543
200,651,1993,2183
200,652,1993,2201
200,660,1993,2151
200,663,1993,2264
200,666,1993,2244
200,670,1993,3079
200,679,1993,3490
200,690,1993,2887
200,692,1993,3154
200,694,1993,3242
200,696,1993,3403
200,698,1993,3625
200,700,1993,3550
200,701,1993,2936
200,702,1993,3351
200,703,1993,3405
200,704,1993,3253
200,705,1993,3480
200,710,1993,5061
200,712,1993,4336
200,713,1993,6142
200,731,1993,5389
200,732,1993,5510
200,740,1993,5947
200,750,1993,4174
200,760,1993,4749
200,770,1993,3757
200,771,1993,4978
200,775,1993,5585
200,780,1993,5418
200,781,1993,5297
200,790,1993,4560
200,800,1993,5929
200,811,1993,6230
200,812,1993,5783
200,816,1993,5744
200,820,1993,6558
200,830,1993,6752
200,835,1993,7006
200,840,1993,6678
200,850,1993,7284
200,900,1993,10565
200,910,1993,9005
200,920,1993,11703
200,935,1993,10029
200,940,1993,9328
200,950,1993,10140
200,983,1993,8365
200,987,1993,8208
200,990,1993,9802
205,2,1993,3384
205,200,1993,288
205,220,1993,484
205,255,1993,818
205,365,1993,1738
205,710,1993,5149
205,740,1993,5964
210,2,1993,3850
210,200,1993,223
210,211,1993,108
210,220,1993,266
210,255,1993,357
210,365,1993,1335
210,710,1993,4863
210,740,1993,5780
211,2,1993,3865
211,200,1993,198
211,210,1993,108
211,212,1993,116
211,220,1993,163
211,255,1993,405
211,365,1993,1403
211,710,1993,4951
211,740,1993,5880
212,2,1993,3970
212,200,1993,304
212,211,1993,116
212,220,1993,179
212,255,1993,373
212,365,1993,1373
212,710,1993,4946
212,740,1993,5902
220,2,1993,3832
220,20,1993,3513
220,31,1993,4481
220,40,1993,4795
220,41,1993,4575
220,42,1993,4468
220,51,1993,4805
220,52,1993,4489
220,53,1993,4277
220,54,1993,4243
220,55,1993,4425
220,56,1993,4292
220,57,1993,4346
220,58,1993,4170
220,60,1993,4200
220,70,1993,5719
220,80,1993,5381
220,90,1993,5593
220,91,1993,5473
220,92,1993,5583
220,93,1993,5530
220,94,1993,5546
220,95,1993,5389
220,100,1993,5368
220,101,1993,4738
220,110,1993,4547
220,115,1993,4471
220,130,1993,5820
220,135,1993,6378
220,140,1993,5427
220,145,1993,6237
220,150,1993,6320
220,155,1993,7245
220,160,1993,6881
220,165,1993,6815
220,200,1993,212
220,205,1993,484
220,210,1993,266
220,211,1993,163
220,212,1993,179
220,221,1993,429
220,223,1993,353
220,225,1993,274
220,230,1993,656
220,232,1993,442
220,235,1993,904
220,255,1993,545
220,290,1993,850
220,305,1993,642
220,310,1993,777
220,316,1993,551
220,317,1993,678
220,325,1993,688
220,331,1993,590
220,338,1993,1089
220,339,1993,996
220,343,1993,1038
220,344,1993,674
220,345,1993,900
220,346,1993,839
220,349,1993,601
220,350,1993,1305
220,352,1993,1836
220,355,1993,1094
220,359,1993,1230
220,360,1993,1164
220,365,1993,1547
220,366,1993,1155
220,367,1993,1059
220,368,1993,1057
220,369,1993,1259
220,370,1993,1136
220,371,1993,2134
220,372,1993,2095
220,373,1993,2372
220,375,1993,1187
220,380,1993,960
220,385,1993,834
220,390,1993,639
220,395,1993,1388
220,402,1993,2767
220,403,1993,3367
220,404,1993,2759
220,411,1993,3145
220,420,1993,2677
220,432,1993,2574
220,433,1993,2618
220,434,1993,2931
220,435,1993,2361
220,436,1993,2445
220,437,1993,2942
220,438,1993,2876
220,439,1993,2534
220,450,1993,3042
220,451,1993,2936
220,452,1993,3000
220,461,1993,2956
220,471,1993,3159
220,475,1993,2759
220,481,1993,3380
220,482,1993,3223
220,483,1993,2644
220,484,1993,3757
220,490,1993,3762
220,500,1993,3810
220,501,1993,4033
220,510,1993,4451
220,516,1993,3962
220,517,1993,3887
220,520,1993,4114
220,522,1993,3477
220,530,1993,3443
220,531,1993,3105
220,540,1993,4045
220,541,1993,5503
220,551,1993,4723
220,552,1993,4940
220,553,1993,4754
220,560,1993,5811
220,565,1993,5025
220,570,1993,5626
220,571,1993,5289
220,572,1993,5496
220,580,1993,5449
220,581,1993,4874
220,590,1993,5855
220,591,1993,4880
220,600,1993,1129
220,615,1993,838
220,616,1993,923
220,620,1993,1240
220,625,1993,2864
220,630,1993,2621
220,640,1993,1617
220,645,1993,2401
220,651,1993,1998
220,652,1993,2038
220,660,1993,1987
220,663,1993,2095
220,666,1993,2073
220,670,1993,2918
220,679,1993,3306
220,690,1993,2741
220,692,1993,3006
220,694,1993,3094
220,696,1993,3260
220,698,1993,3490
220,700,1993,3473
220,701,1993,2847
220,702,1993,3287
220,703,1993,3371
220,704,1993,3202
220,705,1993,3452
220,710,1993,5109
220,712,1993,4384
220,713,1993,6168
220,731,1993,5457
220,732,1993,5577
220,740,1993,6042
220,750,1993,4098
220,760,1993,4699
220,770,1993,3686
220,771,1993,4921
220,775,1993,5526
220,780,1993,5296
220,781,1993,5155
220,790,1993,4501
220,800,1993,5875
220,811,1993,6183
220,812,1993,5745
220,816,1993,5721
220,820,1993,6483
220,830,1993,6680
220,835,1993,6973
220,840,1993,6684
220,850,1993,7203
220,900,1993,10528
220,910,1993,9051
220,920,1993,11809
220,935,1993,10157
220,940,1993,9429
220,950,1993,10312
220,983,1993,8522
220,987,1993,8323
220,990,1993,10002
221,2,1993,4200
221,200,1993,640
221,220,1993,429
221,255,1993,665
221,365,1993,1566
221,710,1993,5166
221,740,1993,6192
223,2,1993,4184
223,200,1993,528
223,220,1993,353
223,225,1993,98
223,255,1993,410
223,305,1993,326
223,365,1993,1337
223,710,1993,4937
223,740,1993,5944
225,2,1993,4104
225,200,1993,466
225,220,1993,274
225,223,1993,98
225,255,1993,469
225,305,1993,423
225,325,1993,426
225,365,1993,1424
225,710,1993,5021
225,740,1993,6015
230,2,1993,3787
230,200,1993,786
230,220,1993,656
230,232,1993,306
230,235,1993,313
230,255,1993,1162
230,365,1993,2140
230,600,1993,473
230,710,1993,5734
230,740,1993,6696
232,2,1993,3971
232,200,1993,627
232,220,1993,442
232,230,1993,306
232,255,1993,885
232,365,1993,1844
232,710,1993,5443
232,740,1993,6433
235,2,1993,3567
235,200,1993,986
235,220,1993,904
235,230,1993,313
235,255,1993,1437
235,365,1993,2429
235,710,1993,6011
235,740,1993,6932
255,2,1993,4172
255,20,1993,3811
255,31,1993,4894
255,40,1993,5194
255,41,1993,5036
255,42,1993,4938
255,51,1993,5250
255,52,1993,5007
255,53,1993,4794
255,54,1993,4750
255,55,1993,4940
255,56,1993,4804
255,57,1993,4860
255,58,1993,4672
255,60,1993,4699
255,70,1993,6049
255,80,1993,5776
255,90,1993,5990
255,91,1993,5888
255,92,1993,5990
255,93,1993,5958
255,94,1993,5990
255,95,1993,5855
255,100,1993,5865
255,101,1993,5242
255,110,1993,5078
255,115,1993,5009
255,130,1993,6316
255,135,1993,6902
255,140,1993,5965
255,145,1993,6779
255,150,1993,6861
255,155,1993,7789
255,160,1993,7415
255,165,1993,7346
255,200,1993,578
255,205,1993,818
255,210,1993,357
255,211,1993,405
255,212,1993,373
255,220,1993,545
255,221,1993,665
255,223,1993,410
255,225,1993,469
255,230,1993,1162
255,232,1993,885
255,235,1993,1437
255,290,1993,322
255,305,1993,326
255,310,1993,429
255,316,1993,175
255,317,1993,344
255,325,1993,735
255,331,1993,598
255,338,1993,1151
